Site Name ,MARIAHO
Site Number ,4
Logger ,Integrating Light Sensor
Logger Serial Number ,10958


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

232,06/12/2017 , 24:00:00,0,0
233,07/12/2017 , 00:15:00,0,0
234,07/12/2017 , 00:30:00,0,0
235,07/12/2017 , 00:45:00,0,0
236,07/12/2017 , 01:00:00,0,0
237,07/12/2017 , 01:15:00,0,0
238,07/12/2017 , 01:30:00,0,0
239,07/12/2017 , 01:45:00,0,0
240,07/12/2017 , 02:00:00,0,0
241,07/12/2017 , 02:15:00,0,0
242,07/12/2017 , 02:30:00,0,0
243,07/12/2017 , 02:45:00,0,0
244,07/12/2017 , 03:00:00,0,0
245,07/12/2017 , 03:15:00,0,0
246,07/12/2017 , 03:30:00,0,0
247,07/12/2017 , 03:45:00,0,0
248,07/12/2017 , 04:00:00,0,0
249,07/12/2017 , 04:15:00,0,0
250,07/12/2017 , 04:30:00,0,0
251,07/12/2017 , 04:45:00,0,0
252,07/12/2017 , 05:00:00,0,0
253,07/12/2017 , 05:15:00,0,0
254,07/12/2017 , 05:30:00,0,0
255,07/12/2017 , 05:45:00,0,0
256,07/12/2017 , 06:00:00,0,0
257,07/12/2017 , 06:15:00,0,0
258,07/12/2017 , 06:30:00,0,0
259,07/12/2017 , 06:45:00,0,0
260,07/12/2017 , 07:00:00,0,0
261,07/12/2017 , 07:15:00,5,5
262,07/12/2017 , 07:30:00,15,15
263,07/12/2017 , 07:45:00,23,23
264,07/12/2017 , 08:00:00,31,31
265,07/12/2017 , 08:15:00,39,39
266,07/12/2017 , 08:30:00,69,69
267,07/12/2017 , 08:45:00,173,173
268,07/12/2017 , 09:00:00,263,263
269,07/12/2017 , 09:15:00,268,268
270,07/12/2017 , 09:30:00,294,294
271,07/12/2017 , 09:45:00,370,370
272,07/12/2017 , 10:00:00,468,468
273,07/12/2017 , 10:15:00,519,519
274,07/12/2017 , 10:30:00,534,534
275,07/12/2017 , 10:45:00,553,553
276,07/12/2017 , 11:00:00,666,666
277,07/12/2017 , 11:15:00,672,672
278,07/12/2017 , 11:30:00,542,542
279,07/12/2017 , 11:45:00,578,578
280,07/12/2017 , 12:00:00,632,632
281,07/12/2017 , 12:15:00,607,607
282,07/12/2017 , 12:30:00,602,602
283,07/12/2017 , 12:45:00,558,558
284,07/12/2017 , 13:00:00,595,595
285,07/12/2017 , 13:15:00,592,592
286,07/12/2017 , 13:30:00,567,567
287,07/12/2017 , 13:45:00,521,521
288,07/12/2017 , 14:00:00,485,485
289,07/12/2017 , 14:15:00,478,478
290,07/12/2017 , 14:30:00,465,465
291,07/12/2017 , 14:45:00,286,286
292,07/12/2017 , 15:00:00,181,181
293,07/12/2017 , 15:15:00,113,113
294,07/12/2017 , 15:30:00,138,138
295,07/12/2017 , 15:45:00,115,115
296,07/12/2017 , 16:00:00,149,149
297,07/12/2017 , 16:15:00,365,365
298,07/12/2017 , 16:30:00,322,322
299,07/12/2017 , 16:45:00,47,47
300,07/12/2017 , 17:00:00,25,25
301,07/12/2017 , 17:15:00,20,20
302,07/12/2017 , 17:30:00,3,3
303,07/12/2017 , 17:45:00,0,0
304,07/12/2017 , 18:00:00,0,0
305,07/12/2017 , 18:15:00,0,0
306,07/12/2017 , 18:30:00,0,0
307,07/12/2017 , 18:45:00,0,0
308,07/12/2017 , 19:00:00,0,0
309,07/12/2017 , 19:15:00,0,0
310,07/12/2017 , 19:30:00,0,0
311,07/12/2017 , 19:45:00,0,0
312,07/12/2017 , 20:00:00,0,0
313,07/12/2017 , 20:15:00,0,0
314,07/12/2017 , 20:30:00,0,0
315,07/12/2017 , 20:45:00,0,0
316,07/12/2017 , 21:00:00,0,0
317,07/12/2017 , 21:15:00,0,0
