Site Name ,MARIAHO,,,
Site Number ,2,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,10956,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
227,6/12/17, 22:45:00,0,0
228,6/12/17, 23:00:00,0,0
229,6/12/17, 23:15:00,0,0
230,6/12/17, 23:30:00,0,0
231,6/12/17, 23:45:00,0,0
232,6/12/17, 24:00:00,0,0
233,7/12/17, 00:15:00,0,0
234,7/12/17, 00:30:00,0,0
235,7/12/17, 00:45:00,0,0
236,7/12/17, 01:00:00,0,0
237,7/12/17, 01:15:00,0,0
238,7/12/17, 01:30:00,0,0
239,7/12/17, 01:45:00,0,0
240,7/12/17, 02:00:00,0,0
241,7/12/17, 02:15:00,0,0
242,7/12/17, 02:30:00,0,0
243,7/12/17, 02:45:00,0,0
244,7/12/17, 03:00:00,0,0
245,7/12/17, 03:15:00,0,0
246,7/12/17, 03:30:00,0,0
247,7/12/17, 03:45:00,0,0
248,7/12/17, 04:00:00,0,0
249,7/12/17, 04:15:00,0,0
250,7/12/17, 04:30:00,0,0
251,7/12/17, 04:45:00,0,0
252,7/12/17, 05:00:00,0,0
253,7/12/17, 05:15:00,0,0
254,7/12/17, 05:30:00,0,0
255,7/12/17, 05:45:00,0,0
256,7/12/17, 06:00:00,0,0
257,7/12/17, 06:15:00,0,0
258,7/12/17, 06:30:00,0,0
259,7/12/17, 06:45:00,0,0
260,7/12/17, 07:00:00,1,1
261,7/12/17, 07:15:00,10,10
262,7/12/17, 07:30:00,23,23
263,7/12/17, 07:45:00,32,32
264,7/12/17, 08:00:00,40,40
265,7/12/17, 08:15:00,48,48
266,7/12/17, 08:30:00,75,75
267,7/12/17, 08:45:00,124,124
268,7/12/17, 09:00:00,166,166
269,7/12/17, 09:15:00,197,197
270,7/12/17, 09:30:00,219,219
271,7/12/17, 09:45:00,246,246
272,7/12/17, 10:00:00,276,276
273,7/12/17, 10:15:00,312,312
274,7/12/17, 10:30:00,354,354
275,7/12/17, 10:45:00,396,396
276,7/12/17, 11:00:00,431,431
277,7/12/17, 11:15:00,452,452
278,7/12/17, 11:30:00,466,466
279,7/12/17, 11:45:00,487,487
280,7/12/17, 12:00:00,509,509
281,7/12/17, 12:15:00,541,541
282,7/12/17, 12:30:00,568,568
283,7/12/17, 12:45:00,609,609
284,7/12/17, 13:00:00,691,691
285,7/12/17, 13:15:00,716,716
286,7/12/17, 13:30:00,728,728
287,7/12/17, 13:45:00,1037,1037
288,7/12/17, 14:00:00,674,674
289,7/12/17, 14:15:00,566,566
290,7/12/17, 14:30:00,598,598
291,7/12/17, 14:45:00,527,527
292,7/12/17, 15:00:00,313,313
293,7/12/17, 15:15:00,189,189
294,7/12/17, 15:30:00,232,232
295,7/12/17, 15:45:00,188,188
296,7/12/17, 16:00:00,145,145
297,7/12/17, 16:15:00,147,147
298,7/12/17, 16:30:00,94,94
299,7/12/17, 16:45:00,66,66
300,7/12/17, 17:00:00,51,51
301,7/12/17, 17:15:00,44,44
302,7/12/17, 17:30:00,24,24
303,7/12/17, 17:45:00,12,12
304,7/12/17, 18:00:00,1,1
305,7/12/17, 18:15:00,0,0
306,7/12/17, 18:30:00,0,0
307,7/12/17, 18:45:00,0,0
308,7/12/17, 19:00:00,0,0
309,7/12/17, 19:15:00,0,0
310,7/12/17, 19:30:00,0,0
311,7/12/17, 19:45:00,0,0
312,7/12/17, 20:00:00,0,0
313,7/12/17, 20:15:00,0,0
314,7/12/17, 20:30:00,0,0
315,7/12/17, 20:45:00,0,0
316,7/12/17, 21:00:00,0,0
317,7/12/17, 21:15:00,0,0
318,7/12/17, 21:30:00,0,0
319,7/12/17, 21:45:00,0,0
320,7/12/17, 22:00:00,0,0
321,7/12/17, 22:15:00,0,0
322,7/12/17, 22:30:00,0,0
323,7/12/17, 22:45:00,0,0
324,7/12/17, 23:00:00,0,0
325,7/12/17, 23:15:00,0,0
326,7/12/17, 23:30:00,0,0
327,7/12/17, 23:45:00,0,0
328,7/12/17, 24:00:00,0,0
329,8/12/17, 00:15:00,0,0
330,8/12/17, 00:30:00,0,0
331,8/12/17, 00:45:00,0,0
332,8/12/17, 01:00:00,0,0
333,8/12/17, 01:15:00,0,0
334,8/12/17, 01:30:00,0,0
335,8/12/17, 01:45:00,0,0
336,8/12/17, 02:00:00,0,0
337,8/12/17, 02:15:00,0,0
338,8/12/17, 02:30:00,0,0
339,8/12/17, 02:45:00,0,0
340,8/12/17, 03:00:00,0,0
341,8/12/17, 03:15:00,0,0
342,8/12/17, 03:30:00,0,0
343,8/12/17, 03:45:00,0,0
344,8/12/17, 04:00:00,0,0
345,8/12/17, 04:15:00,0,0
346,8/12/17, 04:30:00,0,0
347,8/12/17, 04:45:00,0,0
348,8/12/17, 05:00:00,0,0
349,8/12/17, 05:15:00,0,0
350,8/12/17, 05:30:00,0,0
351,8/12/17, 05:45:00,0,0
352,8/12/17, 06:00:00,0,0
353,8/12/17, 06:15:00,0,0
354,8/12/17, 06:30:00,0,0
355,8/12/17, 06:45:00,0,0
356,8/12/17, 07:00:00,0,0
357,8/12/17, 07:15:00,11,11
358,8/12/17, 07:30:00,29,29
359,8/12/17, 07:45:00,48,48
360,8/12/17, 08:00:00,70,70
361,8/12/17, 08:15:00,98,98
362,8/12/17, 08:30:00,121,121
363,8/12/17, 08:45:00,147,147
364,8/12/17, 09:00:00,205,205
365,8/12/17, 09:15:00,213,213
366,8/12/17, 09:30:00,225,225
367,8/12/17, 09:45:00,234,234
368,8/12/17, 10:00:00,273,273
369,8/12/17, 10:15:00,321,321
370,8/12/17, 10:30:00,344,344
371,8/12/17, 10:45:00,380,380
372,8/12/17, 11:00:00,417,417
373,8/12/17, 11:15:00,440,440
374,8/12/17, 11:30:00,458,458
375,8/12/17, 11:45:00,552,552
376,8/12/17, 12:00:00,557,557
377,8/12/17, 12:15:00,462,462
378,8/12/17, 12:30:00,499,499
379,8/12/17, 12:45:00,642,642
380,8/12/17, 13:00:00,626,626
381,8/12/17, 13:15:00,344,344
382,8/12/17, 13:30:00,295,295
383,8/12/17, 13:45:00,755,755
384,8/12/17, 14:00:00,298,298
385,8/12/17, 14:15:00,202,202
386,8/12/17, 14:30:00,376,376
387,8/12/17, 14:45:00,229,229
388,8/12/17, 15:00:00,263,263
389,8/12/17, 15:15:00,282,282
390,8/12/17, 15:30:00,225,225
391,8/12/17, 15:45:00,149,149
392,8/12/17, 16:00:00,88,88
393,8/12/17, 16:15:00,78,78
394,8/12/17, 16:30:00,70,70
395,8/12/17, 16:45:00,68,68
396,8/12/17, 17:00:00,57,57
397,8/12/17, 17:15:00,41,41
398,8/12/17, 17:30:00,22,22
399,8/12/17, 17:45:00,7,7
400,8/12/17, 18:00:00,0,0
401,8/12/17, 18:15:00,0,0
402,8/12/17, 18:30:00,0,0
